Longitude,Latitude,Pixel,Scan
32.2240184,-69.006102,400,200
32.2264721,-69.0061332,500,200
32.228926,-69.0061644,600,200
32.23138,-69.0061956,700,200
32.2338343,-69.0062268,800,200
32.2362886,-69.0062579,900,200
32.2387432,-69.006289,1000,200
32.2411979,-69.0063201,1100,200
32.2436527,-69.0063511,1200,200
32.2461078,-69.0063821,1300,200
32.2485629,-69.0064131,1400,200
32.2510183,-69.006444,1500,200
32.2534738,-69.006475,1600,200
32.2559295,-69.0065058,1700,200
32.2583853,-69.0065367,1800,200
32.2608413,-69.0065675,1900,200
32.2632975,-69.0065983,2000,200
32.2657538,-69.0066291,2100,200
32.2682103,-69.0066598,2200,200
32.270667,-69.0066905,2300,200
32.2731238,-69.0067211,2400,200
32.2755808,-69.0067518,2500,200
32.2780379,-69.0067824,2600,200
32.2804952,-69.006813,2700,200
32.2829527,-69.0068435,2800,200
32.2854103,-69.006874,2900,200
32.2878681,-69.0069045,3000,200
32.2903261,-69.0069349,3100,200
32.2927842,-69.0069654,3200,200
32.2952425,-69.0069957,3300,200
32.297701,-69.0070261,3400,200
32.3001596,-69.0070564,3500,200
32.3026184,-69.0070867,3600,200
32.3050773,-69.007117,3700,200
32.3075364,-69.0071472,3800,200
32.3099957,-69.0071774,3900,200
32.3124551,-69.0072076,4000,200
32.3149147,-69.0072377,4100,200
32.3173745,-69.0072678,4200,200
32.3198344,-69.0072979,4300,200
32.3222945,-69.007328,4400,200
32.3247548,-69.007358,4500,200
32.3272152,-69.007388,4600,200
32.3296758,-69.0074179,4700,200
32.3321365,-69.0074478,4800,200
32.3345974,-69.0074777,4900,200
32.3370585,-69.0075076,5000,200
32.3395197,-69.0075374,5100,200
32.3419811,-69.0075672,5200,200
32.3444427,-69.007597,5300,200
32.3469044,-69.0076267,5400,200
32.3493663,-69.0076564,5500,200
32.3518284,-69.0076861,5600,200
32.3542906,-69.0077158,5700,200
32.356753,-69.0077454,5800,200
32.3592156,-69.007775,5900,200
32.3616783,-69.0078045,6000,200
32.3641412,-69.007834,6100,200
32.3666042,-69.0078635,6200,200
32.3690674,-69.007893,6300,200
32.3715308,-69.0079224,6400,200
32.3739943,-69.0079518,6500,200
32.376458,-69.0079812,6600,200
32.3789219,-69.0080105,6700,200
32.381386,-69.0080398,6800,200
32.3838502,-69.0080691,6900,200
32.3863145,-69.0080983,7000,200
32.3887791,-69.0081275,7100,200
32.3912437,-69.0081567,7200,200
32.3937086,-69.0081858,7300,200
32.3961736,-69.008215,7400,200
32.3986388,-69.008244,7500,200
32.4011042,-69.0082731,7600,200
32.4035697,-69.0083021,7700,200
32.4060354,-69.0083311,7800,200
32.4085012,-69.0083601,7900,200
32.4109673,-69.008389,8000,200
32.4134334,-69.0084179,8100,200
32.4158998,-69.0084468,8200,200
32.4183663,-69.0084756,8300,200
32.420833,-69.0085044,8400,200
32.4232998,-69.0085332,8500,200
32.4257669,-69.0085619,8600,200
32.428234,-69.0085906,8700,200
32.4307014,-69.0086193,8800,200
32.4331689,-69.008648,8900,200
32.4356366,-69.0086766,9000,200
32.4381044,-69.0087052,9100,200
32.4405724,-69.0087337,9200,200
32.4430406,-69.0087622,9300,200
32.4455089,-69.0087907,9400,200
32.4479774,-69.0088192,9500,200
32.4504461,-69.0088476,9600,200
32.4529149,-69.008876,9700,200
32.4553839,-69.0089044,9800,200
32.4578531,-69.0089327,9900,200
32.4603224,-69.008961,10000,200
32.4627919,-69.0089893,10100,200
32.4652616,-69.0090175,10200,200
32.4677314,-69.0090457,10300,200
32.4702014,-69.0090739,10400,200
32.4726716,-69.0091021,10500,200
32.4751419,-69.0091302,10600,200
32.4776124,-69.0091583,10700,200
32.4800831,-69.0091863,10800,200
32.4825539,-69.0092144,10900,200
32.4850249,-69.0092423,11000,200
32.4874961,-69.0092703,11100,200
32.4899674,-69.0092982,11200,200
32.4924389,-69.0093261,11300,200
32.4949106,-69.009354,11400,200
32.4973824,-69.0093818,11500,200
32.4998544,-69.0094096,11600,200
32.5023266,-69.0094374,11700,200
